#Table 3.
#Continuum detections of Class II sources in IC 348.
#
#Source 	    F1.3mm*     	rms 	       Δα 	        Δδ  	    a 	            MDust
# 	        (mJy) 	    (mJy beam−1) 	(arcsec) 	(arcsec) 	(arcsec) 	        (M⊕)
3 	        2.50 ± 0.24	    0.14 	        0.19 	    −0.16 	    0 	        6.99 ± 0.30
4 	        1.28 ± 0.15  	0.13 	        0.06     	−0.13    	0 	        3.58 ± 0.28
7 	        5.68 ± 0.45 	0.13 	        −0.09   	−0.08 	    0 	        15.88 ± 0.28
9 	        0.70 ± 0.14 	0.13 	        −0.02 	    −0.10 	    0 	        1.96 ± 0.28
10 	        3.23 ± 0.29 	0.14 	        0.12        −0.06   	0 	        9.03 ± 0.30
11 	        0.96 ± 0.14 	0.13 	        0.11 	    −0.12 	    0 	        2.68 ± 0.28
13 	        54.18 ± 4.41 	0.27 	        0.14 	    0.03 	0.21 ± 0.01 	151.82 ± 0.57
14 	        0.78 ± 0.22 	0.13 	        −0.02 	    −0.14 	    0       	2.18 ± 0.28
15 	        2.24 ± 0.22 	0.14 	        −0.13 	    −0.08 	    0       	6.26 ± 0.30
17 	        1.55 ± 0.17 	0.14 	        0.07 	    −0.04 	    0 	        4.33 ± 0.30
20 	        0.78 ± 0.15 	0.13 	        −0.34 	    −0.40 	    0 	        2.18 ± 0.28
25 	        1.22 ± 0.17 	0.13 	        0.01    	−0.20 	    0       	3.41 ± 0.28
34 	        4.09 ± 0.36 	0.13 	        −0.14 	    −0.28 	0.23 ± 0.04 	11.43 ± 0.28
35 	        6.34 ± 0.54 	0.13 	        −0.01 	    −0.15 	0.33 ± 0.02 	17.72 ± 0.28
36 	        1.74 ± 0.20 	0.14 	        −0.09 	    −0.13    	0        	4.86 ± 0.30
38 	        1.42 ± 0.17 	0.13 	        −0.23 	    −0.25 	    0        	3.97 ± 0.28
41      	0.61 ± 0.13 	0.13 	        0.17    	0.18     	0        	1.70 ± 0.28
43 	        0.59 ± 0.14 	0.14 	        −0.06       -0.06    	0       	1.65 ± 0.30
48 	        2.08 ± 0.2  	0.13 	        0.10 	    −0.03   	0       	5.81 ± 0.28
52 	        0.67 ± 0.14 	0.14 	        0.10        -0.04 	    0 	        1.87 ± 0.30
55 	        0.80 ± 0.15 	0.14 	        0.10 	    −0.17 	    0 	        2.24 ± 0.30
67 	        1.91 ± 0.21 	0.13 	        0.13 	    −0.04 	    0        	5.34 ± 0.28
86 	        1.27 ± 0.17 	0.13 	        −0.10    	−0.31 	    0        	3.55 ± 0.28
87      	0.70 ± 0.14 	0.13 	        −0.02       −0.13    	0 	        1.96 ± 0.28
88 	        2.99 ± 0.28 	0.13 	        −0.02 	    −0.03   	0       	8.36 ± 0.28
90 	        1.69 ± 0.20 	0.15 	        0.11     	−0.08 	0.37 ± 0.08 	4.72 ± 0.32
91 	        6.73 ± 0.58 	0.15        	0.08    	−0.17 	0.38 ± 0.02 	18.81 ± 0.32
92 	        12.01 ± 1.12 	0.16 	        0.09     	−0.09 	0.47 ± 0.01 	33.57 ± 0.34
94 	        6.00 ± 0.50 	0.14 	        0.05    	−0.27 	0.31 ± 0.02 	16.77 ± 0.30
95      	1.88 ± 0.22 	0.14 	        0.09     	−0.26    	0 	        5.25 ± 0.30
96 	        1.76 ± 0.19 	0.14 	        0.10 	    −0.10 	    0 	        4.92 ± 0.30
101 	    2.50 ± 0.24 	0.14 	        −0.01    	−0.06 	    0        	6.99 ± 0.30
102 	    0.73 ± 0.14 	0.14        	0.20 	    0.01     	0        	2.04 ± 0.30
103 	    7.22 ± 0.58 	0.14        	0.02    	−0.06 	0.30 ± 0.02 	20.18 ± 0.30
111 	    1.06 ± 0.16 	0.13 	        −0.02   	−0.01    	0 	        2.96 ± 0.28
116 	    1.43 ± 0.16 	0.13 	        0.04 	    −0.08     	0       	4.03 ± 0.28
121 	    4.83 ± 0.41 	0.14 	        0.11         	0 	0.22 ± 0.04 	13.50 ± 0.30
126 	    6.54 ± 0.52 	0.13 	        0       	−0.04 	    0        	18.28 ± 0.28
129 	    0.62 ± 0.15 	0.12 	        0.18    	−0.29 	0.39 ± 0.17 	1.73 ± 0.25
132 	    1.05 ± 0.15 	0.13 	        0.17 	    −0.17 	    0        	2.93 ± 0.28
